frase,situacao
dor na garganta muito forte,alto risco
falta de ar e dor no abdômen,alto risco
inquietação nas pernas,baixo risco
dor de cabeça moderada e dor forte nas pernas,alto risco
muito cansaço e dor leve na cabeça,alto risco
dor fraca no peito e um pouco de dor no abdômen,alto risco
um pouco de falta de ar e forte dor na cabeça,alto risco
formigamento nos pés,baixo risco
suave palpitação e leve dor no abdômen,alto risco
tosse intensa acompanhada de dor no abdômen,baixo risco
fraqueza repentina acompanhada de no peito,alto risco
confusão mental e dor leve nas costas,baixo risco
formigamento suave nos braços,alto risco
leve inchaço no peito e dor na perna esquerda,baixo risco
um pouco de dor na garganta,baixo risco
dor moderada no abdomen,alto risco
visão turva e fraqueza,baixo risco
palpitação forte e fraqueza repentina,alto risco
falta de ar após esforço,baixo risco
